Verilator Statistics Report

Information:
  Verilator 4.210 2021-07-07 rev v4.210
  Arguments: --cc --exe --top-module SimTop +define+VERILATOR=1 +define+PRINTF_COND=1 +define+RANDOMIZE_REG_INIT +define+RANDOMIZE_MEM_INIT +define+RANDOMIZE_GARBAGE_ASSIGN +define+RANDOMIZE_DELAY=3 +define+BENCHMARK=0 -I/home/tela/Arch2025/lab5/build/../vsrc --x-assign unique -O3 -CFLAGS -g -std=c++2a -static -Wall -I/home/tela/Arch2025/lab5/difftest/src/test/csrc -I/home/tela/Arch2025/lab5/difftest/src/test/csrc/common -I/home/tela/Arch2025/lab5/difftest/src/test/csrc/difftest -DVERILATOR -Wno-maybe-uninitialized  -DNUM_CORES=1 -LDFLAGS -lpthread -lSDL2 -ldl -lz --trace --assert --stats-vars --output-split 30000 --output-split-cfuncs 30000 --trace-fst --trace-structs --no-trace-params -y ../vsrc/ram -o /home/tela/Arch2025/lab5/build/emu -Mdir ../build/emu-compile ../build/../vsrc/SimTop.sv ./src/test/vsrc/common/SimJTAG.v ./src/test/vsrc/common/assert.v ./src/test/vsrc/common/ram.sv ./src/test/vsrc/common/EICG_wrapper.v ./src/test/vsrc/common/ram.v ./src/test/vsrc/common/ref.v ./src/test/vsrc/common/difftest.v /home/tela/Arch2025/lab5/difftest/src/test/csrc/verilator/main.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/verilator/emu.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/verilator/snapshot.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/vcs/main.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/sdcard.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/keyboard.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/flash.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/remote_bitbang.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/SimJTAG.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/axi4.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/vga.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/common.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/compress.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/uart.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/ram.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/device.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/difftest/difftest.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/difftest/spikedasm.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/difftest/goldenmem.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/difftest/ref.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/difftest/interface.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/difftest/nemuproxy.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/sdcard.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/keyboard.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/flash.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/remote_bitbang.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/SimJTAG.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/axi4.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/vga.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/common.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/compress.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/uart.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/ram.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/device.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/difftest/difftest.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/difftest/spikedasm.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/difftest/goldenmem.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/difftest/ref.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/difftest/interface.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/difftest/nemuproxy.cpp

Global Statistics:

  Assertions, assert immediate statements                     0
  Assertions, assert non-immediate statements                 0
  Assertions, cover statements                                0
  Assertions, full/parallel case                             48
  ConstPool, Constants emitted                                5
  ConstPool, Tables emitted                                   0
  Optimizations, Cases complex                               26
  Optimizations, Cases parallelized                          23
  Optimizations, Clocker decomposed vectors                   0
  Optimizations, Clocker seen vectors                         0
  Optimizations, Combined CFuncs                              0
  Optimizations, Const bit op reduction                       0
  Optimizations, Const bit op reduction                       0
  Optimizations, Delayed shared-sets                       4104
  Optimizations, Gate assign merged                           4
  Optimizations, Gate inputs replaced                      1159
  Optimizations, Gate sigs deduped                            0
  Optimizations, Gate sigs deleted                          301
  Optimizations, Inline unsupported                           0
  Optimizations, Inlined instances                           25
  Optimizations, Lifetime assign deletions                    8
  Optimizations, Lifetime constant prop                       0
  Optimizations, Lifetime postassign deletions               12
  Optimizations, MergeCond longest merge                     17
  Optimizations, MergeCond merged items                      64
  Optimizations, MergeCond merges                            15
  Optimizations, Prelim extracted value to ConstPool         50
  Optimizations, Reloop iterations                          128
  Optimizations, Reloops                                      2
  Optimizations, Split always                                56
  Optimizations, Split always                                 0
  Optimizations, Substituted temps                         2565
  Optimizations, Tables created                               0
  Optimizations, Unrolled Iterations                         41
  Optimizations, Unrolled Loops                               3
  Optimizations, Vars localized                            4119
  Optimizations, expand limited                               0
  Optimizations, expand wide words                         2285
  Optimizations, expand wides                               338
  Optimizations, isolate_assignments blocks                   0
  SplitVar, Split packed variables                            0
  SplitVar, Split unpacked arrays                             0
  Tracing, Ignored signals                                  117
  Tracing, Traced signals                                   312
  Tracing, Unique changing signals                            0
  Tracing, Unique trace codes                               685
  Tracing, Unique traced signals                            468
  Tristate, Tristate resolved nets                            0
  Unknowns, variables created                                 3
  Unrolling gave up, Unable to simulate loop                  2
  Unrolling gave up, no initial assignment                    1
  Warnings, Suppressed ASSIGNDLY                              6
  Warnings, Suppressed DECLFILENAME                           6
  Warnings, Suppressed EOFNEWLINE                            17
  Warnings, Suppressed IMPORTSTAR                             1
  Warnings, Suppressed LATCH                                  2
  Warnings, Suppressed UNDRIVEN                               1
  Warnings, Suppressed UNUSED                                44
  Warnings, Suppressed WIDTH                                  9

Performance Statistics:

  Stage, Elapsed time (sec), 001_cells                 0.000000
  Stage, Elapsed time (sec), 002_linkparse             0.002505
  Stage, Elapsed time (sec), 003_linkdot               0.010705
  Stage, Elapsed time (sec), 004_linkresolve           0.000760
  Stage, Elapsed time (sec), 005_linklvalue            0.000367
  Stage, Elapsed time (sec), 006_link                  0.000406
  Stage, Elapsed time (sec), 007_linkInc               0.000340
  Stage, Elapsed time (sec), 008_param                 0.002208
  Stage, Elapsed time (sec), 009_paramlink             0.001934
  Stage, Elapsed time (sec), 010_deadModules           0.000663
  Stage, Elapsed time (sec), 011_width                 0.004137
  Stage, Elapsed time (sec), 012_widthcommit           0.001245
  Stage, Elapsed time (sec), 013_const                 0.000657
  Stage, Elapsed time (sec), 014_assertpre             0.003539
  Stage, Elapsed time (sec), 015_assert                0.000705
  Stage, Elapsed time (sec), 016_wraptop               0.000038
  Stage, Elapsed time (sec), 017_const                 0.001555
  Stage, Elapsed time (sec), 018_split_var             0.001160
  Stage, Elapsed time (sec), 019_split_var             0.000154
  Stage, Elapsed time (sec), 020_dearray               0.000294
  Stage, Elapsed time (sec), 021_linkdot               0.002398
  Stage, Elapsed time (sec), 022_begin                 0.000989
  Stage, Elapsed time (sec), 023_tristate              0.002951
  Stage, Elapsed time (sec), 024_unknown               0.001208
  Stage, Elapsed time (sec), 025_inline                0.011607
  Stage, Elapsed time (sec), 026_linkdot               0.001234
  Stage, Elapsed time (sec), 027_const                 0.000731
  Stage, Elapsed time (sec), 028_deadDtypes            0.000537
  Stage, Elapsed time (sec), 029_inst                  0.000059
  Stage, Elapsed time (sec), 030_const                 0.000365
  Stage, Elapsed time (sec), 031_scope                 0.003527
  Stage, Elapsed time (sec), 032_linkdot               0.000992
  Stage, Elapsed time (sec), 033_class                 0.000086
  Stage, Elapsed time (sec), 034_const                 0.000373
  Stage, Elapsed time (sec), 035_deadDtypesScoped      0.000544
  Stage, Elapsed time (sec), 036_case                  0.001490
  Stage, Elapsed time (sec), 037_task                  0.001244
  Stage, Elapsed time (sec), 038_name                  0.000649
  Stage, Elapsed time (sec), 039_unroll                0.000979
  Stage, Elapsed time (sec), 040_slice                 0.003973
  Stage, Elapsed time (sec), 041_const                 0.001649
  Stage, Elapsed time (sec), 042_life                  0.001269
  Stage, Elapsed time (sec), 043_table                 0.005887
  Stage, Elapsed time (sec), 044_const                 0.001389
  Stage, Elapsed time (sec), 045_deadDtypesScoped      0.001727
  Stage, Elapsed time (sec), 046_active                0.000731
  Stage, Elapsed time (sec), 047_split                 0.022187
  Stage, Elapsed time (sec), 048_splitas               0.001970
  Stage, Elapsed time (sec), 049_tracedecl             0.004126
  Stage, Elapsed time (sec), 050_gate                  0.008184
  Stage, Elapsed time (sec), 051_const                 0.001869
  Stage, Elapsed time (sec), 052_deadAllScoped         0.001938
  Stage, Elapsed time (sec), 053_reorder               0.008248
  Stage, Elapsed time (sec), 054_delayed               0.012383
  Stage, Elapsed time (sec), 055_activetop             0.004282
  Stage, Elapsed time (sec), 056_order                 0.042128
  Stage, Elapsed time (sec), 057_genclk                0.005547
  Stage, Elapsed time (sec), 058_clock                 0.002343
  Stage, Elapsed time (sec), 059_const                 0.002806
  Stage, Elapsed time (sec), 060_life                  0.005681
  Stage, Elapsed time (sec), 061_life_post             0.007782
  Stage, Elapsed time (sec), 062_const                 0.003257
  Stage, Elapsed time (sec), 063_deadAllScoped         0.004930
  Stage, Elapsed time (sec), 064_changed               0.000986
  Stage, Elapsed time (sec), 065_trace                 0.013357
  Stage, Elapsed time (sec), 066_localize              0.025250
  Stage, Elapsed time (sec), 067_descope               0.004043
  Stage, Elapsed time (sec), 068_combine               0.006260
  Stage, Elapsed time (sec), 069_const                 0.002829
  Stage, Elapsed time (sec), 070_deadAll               0.006151
  Stage, Elapsed time (sec), 071_clean                 0.006272
  Stage, Elapsed time (sec), 072_premit                0.005045
  Stage, Elapsed time (sec), 073_expand                0.040298
  Stage, Elapsed time (sec), 074_const_cpp             0.029155
  Stage, Elapsed time (sec), 075_subst                 0.020257
  Stage, Elapsed time (sec), 076_const_cpp             0.015732
  Stage, Elapsed time (sec), 077_deadAll               0.009386
  Stage, Elapsed time (sec), 078_merge_cond            0.001736
  Stage, Elapsed time (sec), 079_reloop                0.001998
  Stage, Elapsed time (sec), 080_depth                 0.006757
  Stage, Elapsed time (sec), 081_cast                  0.013905
  Stage, Elapsed time (sec), 082_cuse                  0.007173
  Stage, Memory (MB), 001_cells                       23.761719
  Stage, Memory (MB), 002_linkparse                   23.761719
  Stage, Memory (MB), 003_linkdot                     25.761719
  Stage, Memory (MB), 004_linkresolve                 25.761719
  Stage, Memory (MB), 005_linklvalue                  25.761719
  Stage, Memory (MB), 006_link                        25.761719
  Stage, Memory (MB), 007_linkInc                     25.761719
  Stage, Memory (MB), 008_param                       26.406250
  Stage, Memory (MB), 009_paramlink                   26.406250
  Stage, Memory (MB), 010_deadModules                 26.406250
  Stage, Memory (MB), 011_width                       26.406250
  Stage, Memory (MB), 012_widthcommit                 26.406250
  Stage, Memory (MB), 013_const                       26.406250
  Stage, Memory (MB), 014_assertpre                   26.406250
  Stage, Memory (MB), 015_assert                      26.406250
  Stage, Memory (MB), 016_wraptop                     26.406250
  Stage, Memory (MB), 017_const                       26.406250
  Stage, Memory (MB), 018_split_var                   26.406250
  Stage, Memory (MB), 019_split_var                   26.406250
  Stage, Memory (MB), 020_dearray                     26.406250
  Stage, Memory (MB), 021_linkdot                     26.406250
  Stage, Memory (MB), 022_begin                       26.406250
  Stage, Memory (MB), 023_tristate                    26.406250
  Stage, Memory (MB), 024_unknown                     26.406250
  Stage, Memory (MB), 025_inline                      33.406250
  Stage, Memory (MB), 026_linkdot                     33.406250
  Stage, Memory (MB), 027_const                       33.406250
  Stage, Memory (MB), 028_deadDtypes                  33.406250
  Stage, Memory (MB), 029_inst                        33.406250
  Stage, Memory (MB), 030_const                       33.406250
